,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
80,parsed-facebook_combined-32.csv,GraphBIG,PageRank,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0216424
81,parsed-facebook_combined-32.csv,GraphMat,PageRank,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.018052625
82,parsed-facebook_combined-32.csv,PowerGraph,PageRank,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.05
83,parsed-facebook_combined-32.csv,GAP,SSSP,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.035901875
84,parsed-facebook_combined-32.csv,GraphBIG,SSSP,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00435034293939394
85,parsed-facebook_combined-32.csv,GraphMat,SSSP,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.001509
86,parsed-facebook_combined-32.csv,PowerGraph,SSSP,4039,88234,32,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0625
87,parsed-facebook_combined-40.csv,GAP,BFS,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00181
88,parsed-facebook_combined-40.csv,GraphBIG,BFS,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00467871260606061
89,parsed-facebook_combined-40.csv,GraphMat,BFS,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.001558375
90,parsed-facebook_combined-40.csv,GAP,PageRank,4039,88234,40,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.009509375
