dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-actor-collaboration-40.csv,GraphMat,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.058411688
parsed-actor-collaboration-40.csv,PowerGraph,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.206249963
parsed-actor-collaboration-48.csv,GAP,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.104935625
parsed-actor-collaboration-48.csv,GraphBIG,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002664462
parsed-actor-collaboration-48.csv,GraphMat,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.077837563
parsed-actor-collaboration-48.csv,PowerGraph,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.225000063
parsed-actor-collaboration-56.csv,GAP,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.121233125
parsed-actor-collaboration-56.csv,GraphBIG,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002777279
parsed-actor-collaboration-56.csv,GraphMat,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.103728063
parsed-actor-collaboration-56.csv,PowerGraph,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.243749813
parsed-eat-1.csv,GAP,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002491875
parsed-eat-1.csv,GraphBIG,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032719697
parsed-eat-1.csv,GraphMat,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00336225
parsed-eat-1.csv,PowerGraph,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
parsed-eat-2.csv,GAP,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00550125
parsed-eat-2.csv,GraphBIG,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46E-05
