package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphBIG,BFS,1379917,1921660,2,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,1.15E-05
GraphMat,BFS,1379917,1921660,2,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.38098775
Galois,BFS,1379917,1921660,4,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.07375
GAP,BFS,1379917,1921660,4,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.050628125
GraphBIG,BFS,1379917,1921660,4,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,1.94E-05
GraphMat,BFS,1379917,1921660,4,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.260173625
Galois,BFS,1379917,1921660,8,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.1024375
GAP,BFS,1379917,1921660,8,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.037420625
GraphBIG,BFS,1379917,1921660,8,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,2.75E-05
GraphMat,BFS,1379917,1921660,8,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.195128938
Galois,BFS,1379917,1921660,16,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.1739375
GAP,BFS,1379917,1921660,16,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.030955
GraphBIG,BFS,1379917,1921660,16,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,5.12E-05
GraphMat,BFS,1379917,1921660,16,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.14771375
Galois,BFS,1379917,1921660,24,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.2730625
GAP,BFS,1379917,1921660,24,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.03188875
GraphBIG,BFS,1379917,1921660,24,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,6.08E-05
GraphMat,BFS,1379917,1921660,24,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.13071125
Galois,BFS,1379917,1921660,32,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.3206875
GAP,BFS,1379917,1921660,32,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.19861375
GraphBIG,BFS,1379917,1921660,32,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.000439272
GraphMat,BFS,1379917,1921660,32,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.149761688
Galois,BFS,1379917,1921660,40,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.3108125
GAP,BFS,1379917,1921660,40,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.237756875
GraphBIG,BFS,1379917,1921660,40,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.000569969
GraphMat,BFS,1379917,1921660,40,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.2409505
Galois,BFS,1379917,1921660,48,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.3144375
GAP,BFS,1379917,1921660,48,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.2829475
GraphBIG,BFS,1379917,1921660,48,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.000718981
GraphMat,BFS,1379917,1921660,48,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.269991375
Galois,BFS,1379917,1921660,56,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.314625
GAP,BFS,1379917,1921660,56,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.3466575
GraphBIG,BFS,1379917,1921660,56,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.000845895
GraphMat,BFS,1379917,1921660,56,1351137,1879201,1351137,1879201,0.047,82869,0.02091,1056,670,0.289715063
Galois,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.407
GAP,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.046804
Graph500,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.001001966
GraphBIG,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.472973383
GraphMat,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.2729296
Graph500,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.00099932
GraphBIG,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,2.52535
Galois,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.404
GAP,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.043226
Graph500,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.001000599
GraphBIG,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.491010003
GraphMat,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.2733336
Galois,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.403
GAP,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.04259
Graph500,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.001001423
GraphBIG,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.461651764
GraphMat,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.2704046
Galois,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.408
GAP,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.056096
Graph500,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.000999953
GraphBIG,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.470571812
GraphMat,BFS,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,0.2728668
