package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GAP,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.8743575
GraphBIG,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000974163
GraphMat,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.1295865
PowerGraph,SSSP,685230,7600595,48,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.7375
GAP,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,1.08677875
GraphBIG,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.00091356
GraphMat,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.104793188
PowerGraph,SSSP,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.83125
GAP,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.154046875
GraphBIG,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,6.11E-07
GraphMat,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.11066875
PowerGraph,SSSP,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.34375
GAP,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.13420625
GraphBIG,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002002866
GraphMat,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.06771125
PowerGraph,SSSP,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.35625
GAP,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.0754475
GraphBIG,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002026812
GraphMat,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.042979
PowerGraph,SSSP,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,1.35625
GAP,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.043785
GraphBIG,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002117007
GraphMat,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.044188938
PowerGraph,SSSP,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.54374975
GAP,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.032769375
GraphBIG,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002243475
GraphMat,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.019564938
PowerGraph,SSSP,382219,15038083,16,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.287500063
GAP,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.030556875
GraphBIG,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002295733
GraphMat,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.0165055
PowerGraph,SSSP,382219,15038083,24,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.1999999
GAP,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.075404375
GraphBIG,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002659648
GraphMat,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.024409
PowerGraph,SSSP,382219,15038083,32,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.2
GAP,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.091219375
GraphBIG,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002514541
GraphMat,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.058411688
PowerGraph,SSSP,382219,15038083,40,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.206249963
GAP,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.104935625
GraphBIG,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002664462
GraphMat,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.077837563
PowerGraph,SSSP,382219,15038083,48,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.225000063
GAP,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.121233125
GraphBIG,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.002777279
GraphMat,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.103728063
PowerGraph,SSSP,382219,15038083,56,0.98,0.998,0.98,0.998,0.78,346813199,0.06224,12,4.2,0.243749813
GAP,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002491875
GraphBIG,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032719697
GraphMat,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00336225
PowerGraph,SSSP,23132,511764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
GAP,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00550125
GraphBIG,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46E-05
GraphMat,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003282375
PowerGraph,SSSP,23132,511764,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
GAP,SSSP,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00551875
GraphBIG,SSSP,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91E-05
GraphMat,SSSP,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002274375
PowerGraph,SSSP,23132,511764,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
GAP,SSSP,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007355
GraphBIG,SSSP,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65E-05
GraphMat,SSSP,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00150975
PowerGraph,SSSP,23132,511764,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00625
GAP,SSSP,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01125
GraphBIG,SSSP,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04E-05
GraphMat,SSSP,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001010125
PowerGraph,SSSP,23132,511764,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00625
GAP,SSSP,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0153475
GraphBIG,SSSP,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08E-05
GraphMat,SSSP,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00092825
PowerGraph,SSSP,23132,511764,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053695
GraphBIG,SSSP,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000273809
GraphMat,SSSP,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001135688
PowerGraph,SSSP,23132,511764,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125
GAP,SSSP,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068993125
GraphBIG,SSSP,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031212
GraphMat,SSSP,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00203775
PowerGraph,SSSP,23132,511764,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025
GAP,SSSP,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087934375
GraphBIG,SSSP,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000403627
GraphMat,SSSP,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0053975
PowerGraph,SSSP,23132,511764,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01875
GAP,SSSP,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101856875
GraphBIG,SSSP,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000420586
GraphMat,SSSP,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045875
PowerGraph,SSSP,23132,511764,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04375
GAP,SSSP,2239,6452,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94E-05
GraphBIG,SSSP,2239,6452,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000652206
GraphMat,SSSP,2239,6452,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000195875
PowerGraph,SSSP,2239,6452,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,2239,6452,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002725
GraphBIG,SSSP,2239,6452,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35E-05
GraphMat,SSSP,2239,6452,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024475
PowerGraph,SSSP,2239,6452,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,2239,6452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035625
GraphBIG,SSSP,2239,6452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41E-05
GraphMat,SSSP,2239,6452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000244438
PowerGraph,SSSP,2239,6452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
GAP,SSSP,2239,6452,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044125
GraphBIG,SSSP,2239,6452,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38E-05
GraphMat,SSSP,2239,6452,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003355
