Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
334,parsed-web-BerkStan-56.csv,GraphMat,PageRank,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.983857875
335,parsed-web-BerkStan-56.csv,PowerGraph,PageRank,685230,7600595,56,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,23.85
343,parsed-actor-collaboration-1.csv,GAP,PageRank,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,2.454835625
344,parsed-actor-collaboration-1.csv,GraphBIG,PageRank,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,17.66945
345,parsed-actor-collaboration-1.csv,GraphMat,PageRank,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,9.13671375
346,parsed-actor-collaboration-1.csv,PowerGraph,PageRank,382219,15038083,1,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,92.4
354,parsed-actor-collaboration-2.csv,GAP,PageRank,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,1.579988125
355,parsed-actor-collaboration-2.csv,GraphBIG,PageRank,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,13.71026875
356,parsed-actor-collaboration-2.csv,GraphMat,PageRank,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,4.8144275
357,parsed-actor-collaboration-2.csv,PowerGraph,PageRank,382219,15038083,2,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,93.9375
365,parsed-actor-collaboration-4.csv,GAP,PageRank,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.8263425
366,parsed-actor-collaboration-4.csv,GraphBIG,PageRank,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,13.869065
367,parsed-actor-collaboration-4.csv,GraphMat,PageRank,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,2.27350375
368,parsed-actor-collaboration-4.csv,PowerGraph,PageRank,382219,15038083,4,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,88.16875
376,parsed-actor-collaboration-8.csv,GAP,PageRank,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,0.447766875
377,parsed-actor-collaboration-8.csv,GraphBIG,PageRank,382219,15038083,8,0.98,0.998,0.98,0.998,0.78,346813199.0,0.06224,12.0,4.2,13.09473313
