algorithm,execution_phase,scale,edges_per_vertex,RMAT_type,insertion_percent,changed_vertices,threads,measurement,value
CC,deletion,24,8,G,75,1000000,72,Time (s),1.059699
CC,deletion,24,8,G,75,1000000,72,Time (s),1.071640
CC,deletion,24,8,G,75,1000000,72,Time (s),1.453368
CC,deletion,24,8,G,75,1000000,72,Time (s),1.082723
CC,deletion,24,8,G,75,1000000,72,Time (s),1.040279
CC,deletion,24,8,G,75,1000000,72,Time (s),1.052651
CC,deletion,24,8,G,75,1000000,72,Time (s),1.049001
CC,deletion,24,8,G,75,1000000,72,Time (s),1.033845
CC,All,24,8,G,75,1000000,72,Time (s),2.778753
CC,All,24,8,G,75,1000000,72,Time (s),2.840946
CC,All,24,8,G,75,1000000,72,Time (s),3.192589
CC,All,24,8,G,75,1000000,72,Time (s),2.864936
CC,All,24,8,G,75,1000000,72,Time (s),2.757611
CC,All,24,8,G,75,1000000,72,Time (s),2.716582
CC,All,24,8,G,75,1000000,72,Time (s),2.743760
CC,All,24,8,G,75,1000000,72,Time (s),2.697135
Galois,All,24,8,ER,100,1000000,1,Time (s),1.02
Galois,All,24,8,ER,100,1000000,1,Time (s),0.966
Galois,All,24,8,ER,100,1000000,1,Time (s),0.977
Galois,All,24,8,ER,100,1000000,1,Time (s),0.966
Galois,All,24,8,ER,100,1000000,1,Time (s),0.979
Galois,All,24,8,ER,100,1000000,1,Time (s),0.972
Galois,All,24,8,ER,100,1000000,1,Time (s),0.937
Galois,All,24,8,ER,100,1000000,1,Time (s),0.98
Galois,All,24,8,G,100,1000000,1,Time (s),26.466
Galois,All,24,8,G,100,1000000,1,Time (s),8.485
Galois,All,24,8,G,100,1000000,1,Time (s),25.682
Galois,All,24,8,G,100,1000000,1,Time (s),12.948
Galois,All,24,8,G,100,1000000,1,Time (s),19.479
Galois,All,24,8,G,100,1000000,1,Time (s),17.981
Galois,All,24,8,G,100,1000000,1,Time (s),19.077
Galois,All,24,8,G,100,1000000,1,Time (s),19.015
CC,insertion,24,8,G,100,1000000,1,Time (s),0.235773
CC,insertion,24,8,G,100,1000000,1,Time (s),0.234850
CC,insertion,24,8,G,100,1000000,1,Time (s),0.240712
CC,insertion,24,8,G,100,1000000,1,Time (s),0.240711
CC,insertion,24,8,G,100,1000000,1,Time (s),0.244291
CC,insertion,24,8,G,100,1000000,1,Time (s),0.244613
CC,insertion,24,8,G,100,1000000,1,Time (s),0.247179
CC,insertion,24,8,G,100,1000000,1,Time (s),0.242663
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000001
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,1,Time (s),0.000000
CC,All,24,8,G,100,1000000,1,Time (s),11.865681
CC,All,24,8,G,100,1000000,1,Time (s),12.481800
CC,All,24,8,G,100,1000000,1,Time (s),12.642319
CC,All,24,8,G,100,1000000,1,Time (s),11.948095
CC,All,24,8,G,100,1000000,1,Time (s),12.382481
CC,All,24,8,G,100,1000000,1,Time (s),12.231879
CC,All,24,8,G,100,1000000,1,Time (s),12.476683
CC,All,24,8,G,100,1000000,1,Time (s),11.974863
Galois,All,24,8,ER,100,1000000,2,Time (s),0.582
Galois,All,24,8,ER,100,1000000,2,Time (s),0.582
Galois,All,24,8,ER,100,1000000,2,Time (s),0.62
Galois,All,24,8,ER,100,1000000,2,Time (s),0.593
Galois,All,24,8,ER,100,1000000,2,Time (s),0.587
Galois,All,24,8,ER,100,1000000,2,Time (s),0.604
Galois,All,24,8,ER,100,1000000,2,Time (s),0.58
Galois,All,24,8,ER,100,1000000,2,Time (s),0.587
Galois,All,24,8,G,100,1000000,2,Time (s),7.655
Galois,All,24,8,G,100,1000000,2,Time (s),4.974
Galois,All,24,8,G,100,1000000,2,Time (s),4.871
Galois,All,24,8,G,100,1000000,2,Time (s),7.833
Galois,All,24,8,G,100,1000000,2,Time (s),4.82
Galois,All,24,8,G,100,1000000,2,Time (s),10.222
Galois,All,24,8,G,100,1000000,2,Time (s),4.888
Galois,All,24,8,G,100,1000000,2,Time (s),11.14
CC,insertion,24,8,G,100,1000000,2,Time (s),0.222275
CC,insertion,24,8,G,100,1000000,2,Time (s),0.177942
CC,insertion,24,8,G,100,1000000,2,Time (s),0.181248
CC,insertion,24,8,G,100,1000000,2,Time (s),0.192250
CC,insertion,24,8,G,100,1000000,2,Time (s),0.180582
CC,insertion,24,8,G,100,1000000,2,Time (s),0.167423
CC,insertion,24,8,G,100,1000000,2,Time (s),0.185296
CC,insertion,24,8,G,100,1000000,2,Time (s),0.173130
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000001
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000001
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,deletion,24,8,G,100,1000000,2,Time (s),0.000000
CC,All,24,8,G,100,1000000,2,Time (s),7.413544
CC,All,24,8,G,100,1000000,2,Time (s),7.119479
CC,All,24,8,G,100,1000000,2,Time (s),7.234804
CC,All,24,8,G,100,1000000,2,Time (s),7.206843
CC,All,24,8,G,100,1000000,2,Time (s),7.261494
CC,All,24,8,G,100,1000000,2,Time (s),7.078797
CC,All,24,8,G,100,1000000,2,Time (s),7.115547
CC,All,24,8,G,100,1000000,2,Time (s),7.268969
Galois,All,24,8,ER,100,1000000,4,Time (s),0.386
Galois,All,24,8,ER,100,1000000,4,Time (s),0.421
Galois,All,24,8,ER,100,1000000,4,Time (s),0.405
Galois,All,24,8,ER,100,1000000,4,Time (s),0.426
Galois,All,24,8,ER,100,1000000,4,Time (s),0.424
Galois,All,24,8,ER,100,1000000,4,Time (s),0.389
Galois,All,24,8,ER,100,1000000,4,Time (s),0.4
Galois,All,24,8,ER,100,1000000,4,Time (s),0.391
Galois,All,24,8,G,100,1000000,4,Time (s),2.512
Galois,All,24,8,G,100,1000000,4,Time (s),4.268
Galois,All,24,8,G,100,1000000,4,Time (s),2.485
Galois,All,24,8,G,100,1000000,4,Time (s),2.42
Galois,All,24,8,G,100,1000000,4,Time (s),2.45
Galois,All,24,8,G,100,1000000,4,Time (s),2.473
Galois,All,24,8,G,100,1000000,4,Time (s),3.12
Galois,All,24,8,G,100,1000000,4,Time (s),2.476
CC,insertion,24,8,G,100,1000000,4,Time (s),0.210779
CC,insertion,24,8,G,100,1000000,4,Time (s),0.213283
